Episode,Steps,Total Reward,Goal Reached
1,70,-70,False
2,70,-70,False
3,70,-70,False
4,70,-70,False
5,70,-70,False
6,70,-70,False
7,70,-70,False
8,70,-70,False
9,70,-70,False
10,70,-70,False
11,70,-70,False
12,70,-70,False
13,70,-70,False
14,70,-70,False
15,70,-70,False
16,70,-70,False
17,70,-70,False
18,70,-70,False
19,70,-70,False
20,70,-70,False
21,70,-70,False
22,70,-70,False
23,70,-70,False
24,70,-70,False
25,70,-70,False
26,70,-70,False
27,70,-70,False
28,70,-70,False
29,70,-70,False
30,70,-70,False
31,70,-70,False
32,70,-70,False
33,70,-70,False
34,70,-70,False
35,70,-70,False
36,70,-70,False
37,70,-70,False
38,70,-70,False
39,70,-70,False
40,70,-70,False
41,70,-70,False
42,70,-70,False
43,70,-70,False
44,70,-70,False
45,70,-70,False
46,70,-70,False
47,70,-70,False
48,70,-70,False
49,70,-70,False
50,70,-70,False
51,70,-70,False
52,70,-70,False
53,70,-70,False
54,70,-70,False
55,70,-70,False
56,70,-70,False
57,70,-70,False
58,70,-70,False
59,70,-70,False
60,70,-70,False
61,70,-70,False
62,70,-70,False
63,54,47,True
64,70,-70,False
65,70,-70,False
66,70,-70,False
67,66,35,True
68,70,-70,False
69,70,-70,False
70,65,36,True
71,70,-70,False
72,46,55,True
73,70,-70,False
74,70,-70,False
75,70,-70,False
76,70,-70,False
77,70,-70,False
78,49,52,True
79,70,-70,False
80,70,-70,False
81,61,40,True
82,70,-70,False
83,70,-70,False
84,70,-70,False
85,70,-70,False
86,70,-70,False
87,70,-70,False
88,70,-70,False
89,70,-70,False
90,70,-70,False
91,49,52,True
92,70,-70,False
93,70,-70,False
94,70,-70,False
95,70,-70,False
96,70,-70,False
97,47,54,True
98,70,-70,False
99,63,38,True
100,61,40,True

Total Time (s),379.9
Average Steps,68.61
Average Reward,-58.51
Success Rate (%),10.0
